Partido,Arganzuela,Barajas,Carabanchel,Centro,Chamartin,Chamberi,Ciudad Lineal,Fuencarral-Pardo,Hortaleza,Latina,Moncloa-Aravaca,Moratalaz,Puente-Vallecas,Retiro,Salamanca,San Blas,Tetuan,Usera,Vicalvaro,Villa Vallecas,Villaverde
Ciudadanos,16047,5848,17215,9737,16325,15234,19635,26655,20123,17887,11914,8455,12425,13782,15422,14590,13140,7967,6453,9569,9130
FEJONS,82,26,134,56,49,68,105,110,89,126,34,51,123,69,47,107,84,81,41,54,106
UPyD,488,115,494,335,344,386,438,599,430,795,291,214,352,371,295,335,367,434,181,231,261
Vox,505,111,548,327,676,684,590,839,498,657,445,270,273,523,733,357,501,193,112,171,227
PCPE,69,14,140,65,77,25,108,95,62,130,33,43,174,41,39,280,47,281,52,71,69
PH,36,12,98,33,39,33,71,50,62,119,29,28,107,18,19,53,58,44,29,32,62
SAIn,27,4,55,23,26,20,29,32,28,34,26,11,38,14,21,20,39,27,8,17,25
PLIB,26,12,33,16,29,20,49,37,39,38,11,13,62,18,28,23,30,18,21,21,15
Pacma,833,275,1206,835,546,584,1175,1016,867,1514,533,594,1479,611,589,998,805,723,432,721,772
