Partido,Arganzuela,Barajas,Carabanchel,Centro,Chamartin,Chamberi,Ciudad Lineal,Fuencarral-Pardo,Hortaleza,Latina,Moncloa-Aravaca,Moratalaz,Puente-Vallecas,Retiro,Salamanca,San Blas,Tetuan,Usera,Vicalvaro,Villa Vallecas,Villaverde
PP,33260,10856,41122,20731,50945,44201,50480,63268,43116,48519,34903,20951,25761,37252,49908,27152,33780,17437,10062,13688,18780
PSOE,16327,4384,26318,11643,9964,11324,21890,23287,17774,26670,10146,12017,30537,11084,10090,18228,14160,15540,8535,11725,18280
RecortesCero,162,42,308,166,102,143,227,226,187,342,77,113,323,94,101,221,186,177,109,150,199
PodemosIU,22736,4723,27703,23760,9627,12681,21939,21548,17806,29192,10872,13182,37002,12192,9971,18984,15031,15743,9415,15666,17279
