in_https,nu_imsi,nu_imei,nu_telefono,no_servidor,no_referer,no_user_agent,no_url,ca_vol_up,ca_vol_dw,it_evento,it_fin_evento,no_ip,nu_puerto,co_estado_http,co_razon
0,-1713862633647482705,-2644850829298153474,-4535551292576113116,init-p01md.apple.com,NULL,"server-bag [iPhone OS,10.1.1,14B100,iPhone9,3]",http://init-p01md.apple.com/bag?gr=ES,792,9915,2017-01-01T17:58:55.620+01:00,2017-01-01T17:58:55.640+01:00,Cu5OMd4tu0cq5LwUn9d6TuvYGQnYJCZzO7r6M/YI9B0=,80,200,32
0,-6096202094475121005,3106373803664720787,5484553004351414801,init-p01st.push.apple.com,NULL,"iPhone9,4/10.3.2 (14F89)",http://init-p01st.push.apple.com/bag,949,7917,2017-01-01T17:56:53.730+01:00,2017-01-01T17:56:50.640+01:00,NULL,80,200,71
0,-957400993199200214,1906155432835987224,-4535551292576113116,e00-marca.uecdn.es,NULL,Dalvik/2.1.0 (Linux; U; Android 6.0.1; HUAWEI RIO-L01 Build/HuaweiRIO-L01),http://e00-marca.uecdn.es/assets/multimedia/imagenes/2017/04/25/14931292887695.jpg,1830,41607,2017-01-01T17:56:23.240+01:00,2017-01-01T17:56:23.380+01:00,MnuFsTBHgk4eU5aNr/yYT/2Hw77tO/zxEeGTTYDE4yM=,80,200,32
0,-5627575290101194551,7966405274798304038,4258519765011062730,m2m1.inner-active.mobi,NULL,Dalvik%2F2.1.0+%28Linux%3B+U%3B+Android+6.0.1%3B+SM-J500FN+Build%2FMMB29M%29,http://m2m1.inner-active.mobi/simpleM2M/requestEnhancedHtmlAd?aid=Appodeal_32512com_lightside_caseopener2_banner_Android&v=Sm2m-2.,2224,3525,2017-01-01T17:58:20.950+01:00,2017-01-01T17:58:10.560+01:00,NULL,80,200,71
0,6495259492171575053,655066726645462711,-4535551292576113116,fastlane.rubiconproject.com,http://futbol.as.com/futbol/2017/06/05/mas_futbol/1496664715_185147.html,"Mozilla/5.0 (Linux; Android 7.0; SM-G935F Build/NRD90M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",http://fastlane.rubiconproject.com/a/api/fastlane.json?account_id=9778&site_id=111570&zone_id=526628&size_id=43&alt_size_ids=117&p,8669,1687,2017-01-01T17:58:22.800+01:00,2017-01-01T17:58:23.050+01:00,LB0d1oFl5Dq4KU0kaByMBluOQ4Df86SJnti7Dq2Fd4w=,80,200,32
0,7882296558865412453,8503462560036111776,5409643550968707840,7.tlu.dl.delivery.mp.microsoft.com,NULL,Microsoft-Delivery-Optimization/10.0,http://7.tlu.dl.delivery.mp.microsoft.com/filestreamingservice/files/f6ef2dc7-2d2a-4ebd-85ab-e71ed8b356c9?P1=1496679218&P2=301&P3=,109615,4416173,2017-01-01T17:57:28.720+01:00,2017-01-01T17:57:54.910+01:00,aHiMaZhrby2YjZEo45SdqmUdD1jaU1W4UdttwHGkoB8=,80,200,0
0,5859793227244358333,-6441976636252243683,-4535551292576113116,ads.rubiconproject.com,http://www.elmundo.es/deportes/futbol/2017/06/05/59353172ca474125788b4606.html,"Mozilla/5.0 (Linux; Android 6.0.1; SM-J510FN Build/MMB29M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",http://ads.rubiconproject.com/ad/13258.js,4328,7921,2017-01-01T17:58:20.330+01:00,2017-01-01T17:58:20.340+01:00,GKOIvnUmLAcR8Qo/7G/4rwQmkPC/0M34byKHyIH8CN8=,80,200,0
0,-5198000724702577265,-1768983249707627135,-4535551292576113116,m.addthis.com,http://www.goldhdtube.com/es/301/wife/2.html,"Mozilla/5.0 (Linux; Android 4.4.2; es-es; SAMSUNG GT-I9195 Build/KOT49H) AppleWebKit/537.36 (KHTML, like Gecko) Version/1.5 Chrome/28.0.1500.94 Mobile Safari/537.36",http://m.addthis.com/live/red_lojson/300lo.json?si=59357fa14dd1424f&bkl=0&bl=1&pdt=338&sid=59357fa14dd1424f&pub=ra-5331b30f6289b36,1612,1014,2017-01-01T17:58:26.720+01:00,2017-01-01T17:58:26.870+01:00,eAkfXmJlv819SdgvIwjWaaRtw0IbQetEOnNEH/TMHgA=,80,200,32
0,1272181684343748765,8254431167424536207,9164061921506238790,b38547-p5-hb.1.vod.cdn.telefonica.com,NULL,NULL,http://b38547-p5-hb.1.vod.cdn.telefonica.com/_38547/prod/ts/cplus-28803-hd_20170601_185258.aes_128_ecb.raw.0.ts,30763342,2147418209,2017-01-01T17:55:57.000+01:00,2017-01-01T17:05:16.500+01:00,qSJlMkokkKj/wf5+P8LsbC8IIT17iuShCc1AVnCjznU=,80,0,71
